計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
因應氣候變遷結合有效雨量埤塘河水堰之水田灌溉管理,"[576, 677, 1072, 1192]","氣候變遷, 埤池, 輪灌, 攔河堰",環境及資源,"環境, 資源",國內目前最大宗用水為農業用水，因農業用水的缺水容忍?較民生、工業為高，故可在乾旱缺水期間，調度農業用水做為替代用水。桃園灌區為台灣重要的農業生產區域之一，其灌溉系統主要仰賴石門水庫透過桃園大圳系統及河水堰取水外，尚有埤塘供水系統，可做調度配水運用。本研究針對桃園大圳第二支線作為農業灌溉之研究區域，利用研究區域內之雨量站所測資料及灌區水文、地文與灌溉資料做為模式建構之資料來源，配合桃園大圳當全面實施輪流灌溉、並配合埤池調蓄方式，以系統動力模式模擬桃園灌區期作之運作情形，配合變遷雨量之影響，進而得到灌區內之迴歸水量、滲漏水量及灌區內水量變化等資料，並改變系統總進水量及操作方式，以評估對作物生長之影響。以桃園大圳實際實施輪流灌溉並配合埤池調蓄方式為供水操作基礎，以系統動力模式模擬桃園灌區期作之運作情形，配合變遷雨量之影響，進而得到灌區內之迴歸水量、滲漏水量及灌區內水量變化等資料，並改變系統總進水量及操作方式，以評估對作物生長之影響。並加入影響降雨型態之條件機率，利用水文序率統計方法，進而模擬未來可能發生降雨分佈形式，探討農業生產影響及水源調配之可行性，以供農田及水利相關單位於耕作或乾旱發生期間，用水調配之參考。,"水量, 灌溉, 用水, 期作"
氣候變遷下智慧型農業配水因應策略,"[162, 258, 361, 759, 760]","水庫操作, 休耕, 決策支援系統, 智慧型??, 智慧型理論",環境及資源,"環境, 資源",台灣地區降雨極不均勻，對水的需求逐年增加，復加氣候變遷導致水文及氣象條件產生變化，降雨時機與強度跟以往有明顯差異，導致近年用水量時常有不足的情況發生。農業用水所佔比例高，而其生產產值無法與工業用水相比擬，因此乾旱期間用水不足時，往往向農業尋求調整支援，近年北台灣頻繁面臨缺水問題，多以停灌休耕方式解決用水不足的窘境，因此，為確保水資源永續利用機能，並維持農業永續經營與發展目標，將深入探討氣候變遷情況下桃園地區農業灌溉配水因應策略，針對一期作停灌休耕時機與範圍加以研議，期能建置一智慧型水庫決策支援系統，降低停灌休耕所帶來的風險與損失。? 本計畫將深入探討氣候變遷情況下桃園地區農業灌溉配水因應策略，蒐集歷年一期作休耕停灌措施辦法以及相關文獻進行探討，並蒐集北部地區水文相關資料，評估水文特性與趨勢，評估農業配水效益，研擬智慧型水庫決策支援系統。(1).?探討停灌休耕相關措施。(2).?分析氣候變遷下對農業用水之影響。(3).?停灌休耕效益評估。(4).?研議灌區實施停灌休耕方式。(5).?第一期作研議農業停灌休耕之風險與損失。,"研議, 水文, 蒐集, 降雨, 用水, 效益, 灌溉, 期能"
因應氣候變遷之水田最適灌溉用水調配之研究,"[157, 576, 874]","水田, 氣候變遷, 節水灌溉",環境及資源,"環境, 資源",本研究以缺水最為嚴重之嘉南地區為研究區域，以大面積田間試驗探討100年一期作水稻種植日期由＜?1月16日調整至2月16日，並於抽穗期重要生育階段實施7天輪灌期距之節水灌溉處理時，解析其對水稻灌溉用水量與生育產量之影響，進而評析在不影響水稻產量之前提下，水稻於缺水期之最適灌溉時期及最適灌溉水量與節水成效，期能更機動且有效調配灌溉用水，以因應氣候變遷嚴重缺水問題，提升缺水期水資源之有效利用。,"缺水, 水稻, 生育, 灌溉, 期距, 期能, 研究, 解析"
氣候變遷下水田灌溉水量與田間耗水量之關係,"[157, 252, 576]","水田, 田間耗水量, 氣候變遷",環境及資源,"環境, 資源",本研究將完成降雨量、灌溉水量、田間消耗水量期作觀測資料分析，以及氣候變遷下不同灌溉水量對田間耗水量之數值模型建立與關係分析，研究成果將可提供農田水利會編訂年度灌溉計畫及相關農業主管機關規劃農業水資源之參考。,"水量, 灌溉, 期作, 降雨量, 分析, 消耗, 模型, 年度"
氣候變遷對農業回歸水及土壤入滲量之影響,"[93, 276, 576]","土壤入滲量, 回歸水, 氣候變遷",環境及資源,"環境, 資源",台灣地區依據台北、台中、台南、恆春、花蓮與台東等具百年氣候監測資料的測站資料分析結果顯示：過去百年間這六站的平均增溫率為0.14℃/十年，1900-1944與1976-2004間之增溫率則各為0.14℃/十年與0.30℃/十年，近期的暖化速率較全球的0.20℃/十年為更顯著。理論上，土壤溫度增加，土壤水分之傳輸亦會隨之增加。依據實驗觀測資料顯示，土壤平均溫度由10℃升至50℃時，土壤水分之傳輸將增加數倍。此外，農業回歸水依其來源可分為地表回歸水及地表下回歸水，此回歸水又與土壤水分含量有密切之關係，因此本計畫將進行氣候變遷對區域農業回歸水及土壤入滲量之影響，並於台灣具有高缺水風險之灌區選擇一示範區域，以了解氣候變遷對區域農業回歸水及土壤入滲量之影響，作為農業用水調配與農業政策擬定之參考依據。,"土壤水分, 地表, 缺水, 速率, 含量, 土壤, 全球, 分析"
適應氣候變遷之小農永續經營-系統回饋式配水管理,"[114, 378, 633]","小農, 系統回饋式模組, 配水",環境及資源,"環境, 資源",本研究擬透過系統動力學的分析架構，考量實際田間與理論灌溉用水的各項因子，建立小農灌溉系統的回饋式模組(Systemic Feedback Modeling)。藉此修正農田水利會田間配水模式，縮短理論與實際用水量的差距，並提出如何因應氣候變遷進行適當的配水管裡。預期效益包括：＜? 1.調適氣候變遷對農田水利會的影響。2.調整農田水利會配水計畫。3.增加農田水利會水源調度的彈性。,"用水量, 水管, 考量, 因子, 水源, 效益, 差距, 模式, 分析, 研究"
氣候變遷對作物灌溉需水量及產量影響之研究,"[334, 340, 576, 1211]","作物生產模式, 作物產量, 氣候變遷, 灌溉需水量",環境及資源,"環境, 資源",本研究收集國內外文獻及灌溉管理基本資料應用於作物模式分析氣候變遷對作物灌溉需水量及產量之影響，藉以提供農田水利會因應氣候變遷以有效率應用農業水資源之目的。本研究執行步驟及目標包括：國內外氣候變遷與作物灌溉需水量文獻收集農業氣象及灌溉管理基本資料收集作物生產模式應用分析氣候變遷對作物灌溉需水量及產量之影響,"作物, 灌溉, 有效率, 管理, 研究, 目的"
氣候變遷對灌溉系統供水承載力影響評估方法之建立,"[402, 576, 1208]","供水承載力, 氣候變遷, 灌溉系統",環境及資源,"環境, 資源",在氣候變遷影響下，灌溉供水系統是否仍能持續提供服務水準為重要研究課題。本研究目的在於定義灌溉供水系統之承載力，並進一步研究建立評估氣候變遷對承載力影響之方法，最後並探討如何藉由分散調適措施提高供水承載力。台灣目前有許多地區仍為直接引用河川水源之川流式灌溉系統，當氣候發生改變的情況下，會對河川可用水量產生直接影響，而河川可用水量的改變對於各個小灌區影響皆不相同，此外，各灌區可能因應措施亦不同，故在面對氣候變遷的挑戰時，應以分散性的調適策略方法進行考量，針對不同的區域採取不同的調適方法，而非以單一調適策略應用於整個區域，如此則可更彈性的面對氣候變遷的影響。故本研究先建立灌區之空間脆弱度，以凸顯每個區域於氣候變遷下可能面臨之影響及衝擊，最後透過分析整體之結果，分析不同區域可能採取之不同回應措施。此外，於衝擊評估之過程中，供水系統之分析應包含農業供水及公共用水，除了探討氣候變遷對農業用水所造成之影響外，公共用水亦可能產生改變，進而對農業可用水量產生影響，因此研究中將建立不同公共用水量之情境，以分析氣候變遷下頭前溪整體供水系統之脆弱度，並且進一步分析農業灌溉供水承載力之可能變化，提出未來可能採行之調適方法。,"用水量, 分析, 方法, 研究, 用水"
氣候變遷對水田灌溉三生功能整體效益影響推估模式之建立,"[157, 576, 917]","水田, 氣候變遷, 農業多功能",環境及資源,"環境, 資源",氣候變遷導致全球乾旱、豪雨、熱浪、暴風等極端氣候發生的頻度與強度增加，造成農業環境衝擊，亦影響糧食生產，進而影響水田灌溉之三生整體效益。而氣候包含的項目眾多，常藉由氣候指數的編列來有效表達一地方氣候的變化，計畫目標為建立建構一聯結「氣候變遷-水田生產-水田多功能整體效益」之推估模式，以有效表達氣候變遷對水田三生功能整體效益之影響。並可將研究成果應用於氣候變遷對同時具備市場價值與非市場價值之環境財效益影響評估模式之建構。＜? (1)建構氣候變遷對水田生產影響推估模式。本研究擬分析比較各國氣候指數異同及編列指數考量因素，亦考量台灣水稻田生產基本氣候條件及氣候變異不確定性，研析適合我國水稻田氣候指數的編列標準及參考指標，並進一步編列台灣水稻田適用之氣候指數。繼而依據所建立之氣候指數建立氣候變遷對水田生產影響推估模式。(2)建構水田生產對水田多功能整體效益影響簡易推估模式。水田生產對水田多功能整體效益之詳實影響尚須長年期跨領域多方科學實證，本研究嘗試自人類價值觀與效益層面，應用歷來水田相關效益與價值實證成果，在人類仍面對科學的未知之際，從當代社會人類偏好與價值結構出發，建構水田生產對水田多功能整體效益影響簡易推估模式。(3)建構聯結「氣候變遷-水田生產-水田多功能整體效益」之簡易推估模式。本文嘗試聯結氣候變遷對水田生產影響推估模式、及水田生產對水田多功能整體效益影響簡易推估模式，建構聯結「氣候變遷-水田生產-水田多功能整體效益」之簡易推估模式，以有效表達氣候變遷對水田三生功能整體效益之影響，並可將研究成果應用於氣候變遷對同時具備市場價值與非市場價值之環境財效益影響評估模式之建構。?1.建構氣候變遷對水田生產影響推估模式。2.建構水田生產對水田多功能整體效益影響簡易推估模式。3.建構一聯結氣候變遷-水田生產-水田多功能整體效益簡易推估模式。,"水田, 模式, 效益"
生物資源災損評估及預警之研究(1/3),"[229, 269, 408]","生物多樣性, 全球暖化, 受害評估",環境及資源,"環境, 資源","台灣地區近年來因全球暖化導致之極端氣候，時有颱風、豪雨、地震等天災，每每造成土石崩塌及棲地破壞，對生物資源產生影響及損害，惟至今國內尚無一套有系統的針對生物資源之災損評估及預警。為落實生物資源監測，本計畫擬根據現有之物種調查資料，結合各項環境因子資料，選用最大亂度法（Maximum Entropy, MAXENT），進行物種分布預測，並運用統計分析結合地理資訊系統，建立一套針對生物資源之災損評估及預警之方法，以完成陸生保育類野生動物50種對於山崩及土石流等天然災害之易受害潛勢評估。","豪雨, 亂度, 土石, 山崩, 地震, 方法"
氣候變遷下廣泛分布樹種之區內外保存(1/4),"[576, 593, 693, 984, 1034, 1085, 1200]","氣候變遷, 烏心石, 採穗嫁接, 種子採集和發芽, 樟樹, 樹木栽植, 櫸樹",森林及生物多樣性,"生物多樣性, 森林",氣候變遷將大大地影響森林組成和遺傳資源。一個族群有能力適應不同的環境需依賴此族群遺傳變異大小，樹種分布愈廣，遺傳變異愈大，其適應環境的潛能愈強。建立少數幾種廣泛分布且具經濟價值的樹種，研究分析不同種源間對環境的適應能力，包括能忍受極端的氣候如高溫和乾旱，昆蟲或病菌的侵襲等是需要的。樹種更新需要種子，解除種子休眠和促進發芽，溫度是扮演一個重要的角色，如溫度增加會影響種子的發芽。本計畫目的擬選擇台灣廣泛分布之經濟樹種，如烏心石、櫸樹和樟樹等，進行精英樹種分布調查，採穗嫁接，採種和種子發芽，培育苗木和不同海拔栽種之適應性研究。,"族群, 病菌, 精英, 研究, 角色, 森林, 海拔, 目的, 能力, 分析"
